Disease,Symptoms,Specialty
Yeast Infection,"White patches or vaginal discharge, itching",Infectious disease
Heart Failure,"Shortness of breath, exhaustion, swollen legs",Cardiology
Stomach Cancer,"Early:
Heartburnbloatingupper abdominal painnauseabelchingloss of appetite
Later:
Weight lossyellowing of the skin and whites of the eyesvomiting blooddifficulty swallowingblood in the stool",Gastroenterology Oncology
Placental Abruption,"Vaginal bleeding, low abdominal pain, dangerously low blood pressure",Obstetrics
Trigeminal Neuralgia,"Typical: episodes of severe, sudden, shock-like pain in one side of the face that lasts for seconds to minutes
Atypical: constant burning pain",Neurology
Bronchiolitis,"Fever, cough, runny nose, wheezing, breathing problems","Emergency medicine, pediatrics"
Skin Cancer,"Basal-cell: painless raised area of skin that may be shiny with small blood vessel running over it or ulceration
Squamous-cell: hard lump with a scaly top
Melanoma: mole that has changed in size, shape, color, or has irregular edges",Oncology and dermatology
hypertensive disease,None,"Cardiology, Nephrology"
diabetes,"Frequent urination
Increased thirst
Increased hunger",Endocrinology
coronary heart disease,"Chest pain, shortness of breath","Cardiology, cardiac surgery"
pneumonia,"Cough, shortness of breath, chest pain, fever","Pulmonology, infectious disease"
asthma,"Recurring episodes of wheezing, coughing, chest tightness, shortness of breath",Pulmonology
myocardial infarction,"Chest pain, shortness of breath, nausea/vomiting, dizziness or lightheadedness, cold sweat, feeling tired; arm, neck, back, jaw, or stomach pain, decreased level or total loss of consciousness","Cardiology, emergency medicine"
chronic obstructive airway disease,"Shortness of breath, chronic cough",Pulmonology
hypothyroidism,"extreme fatigue, Poor ability to tolerate cold, feeling tired, muscle aches, constipation, weight gain, depression, anxiety, irritability",Endocrinology
anxiety state,"Worrying, fast heart rate, shakiness","Psychiatry, clinical psychology"
gastroesophageal reflux disease,"Taste of acid, heartburn, bad breath, chest pain, breathing problems",Gastroenterology
deep vein thrombosis,"Pain, swelling, redness, enlarged veins in the affected limb",Various
dehydration,"Increased thirst, tiredness, decreased urine, dizziness, headaches, and confusion",Critical care medicine
neoplasm,Lump,Oncology
epilepsy,"Periods of loss of consciousness, abnormal shaking, staring, change in vision, mood changes and/or other cognitive disturbances",Neurology
cardiomyopathy,"Shortness of breath
Feeling tired
Swelling of the legs",Cardiology
chronic kidney failure,"Early: None
Later: Leg swelling, feeling tired, vomiting, loss of appetite, confusion",Nephrology
peripheral vascular disease,"Leg pain when walking that resolves with rest, skin ulcers, bluish skin, cold skin","Interventional radiology, vascular surgery"
bipolar disorder,Periods of depression and elevated mood,"Psychiatry, clinical psychology"
cirrhosis,"Tiredness, itchiness, swelling in the lower legs, jaundice, easily bruising, fluid build-up in the abdomen","Gastroenterology, Hepatology"
benign prostatic hypertrophy,"Frequent urination, trouble starting to urinate, weak stream, inability to urinate, loss of bladder control",Urology
mitral valve insufficiency,"Heart murmur, shortness of breath during exercise or lying down, fatigue, palpitations, swollen feet or ankles",Cardiology
arthritis,"Joint pain, stiffness, redness, swelling, decreased range of motion",Rheumatology
bronchitis,"Coughing up mucus, wheezing, shortness of breath, chest discomfort","Infectious disease, pulmonology"
hemiparesis,Loss of motor skills on one side of body,Neurology
paranoia,"Distrust, false accusations, anxiety, suspicion","Psychiatry, clinical psychology"
pancreatitis,Pain in the upper abdomennauseavomitingfeverfatty stool,Gastroenterologygeneral surgery
hernia,"Pain especially with coughing, bulging area",General surgery
schizophrenia,"Hallucinations, delusions, disorganized thinking and behavior, flat or inappropriate affect, associated features include grimacing, mannerism and other oddities of behavior",Psychiatry
diverticulitis,"Abdominal pain, fever, nausea, diarrhea, constipation, blood in the stool",General surgery
osteomyelitis,"Pain in a specific bone, overlying redness, fever, weakness","Infectious disease, orthopedics"
gastritis,"Upper abdominal pain, nausea, vomiting, bloating, loss of appetite, heartburn",Gastroenterology
sickle cell anemia,"Attacks of pain, anemia, swelling in the hands and feet, bacterial infections, stroke","Hematology, medical genetics"
hepatitis,"Yellowish skin, poor appetite, abdominal pain","Infectious disease, gastroenterology, hepatology"
gout,"Joint pain, swelling, and redness",Rheumatology
hypoglycemia,"Headache, blurred vision, shakiness, dizziness, weakness, tiredness, sweating, clamminess, fast heart rate, pounding heartbeat, nervousness or anxiety, hunger, nausea, pins and needles sensation, difficulty talking, confusion, unusual behavior, lightheadedness, pale skin color, seizures",Endocrinology
hepatitis B,"None, yellowish skin, tiredness, dark urine, abdominal pain","Infectious disease, gastroenterology"
tricuspid valve insufficiency,Ascites,Cardiology
neuropathy,"Shooting pain, numbness, tingling, tremors, bladder problems, unsteadiness",Neurology
respiratory failure,"Shortness of breath, cyanosis, tachycardia, tachypnea, arrhythmia, headache, hypertension","Pulmonology, Intensive care medicine"
melanoma,"Mole that is increasing in size, has irregular edges, change in color, itchiness, or skin breakdown.",Oncology and dermatology
gastroenteritis,"Diarrhea, vomiting, abdominal pain, fever","Infectious disease, gastroenterology"
hemorrhoids,"Internal: Painless, bright red rectal bleeding
External: Pain and swelling around the anus",General surgery
pyelonephritis,"Fever, flank tenderness, nausea, burning with urination, frequent urination","Infectious disease, urology, nephrology"
pneumothorax,"Chest pain, shortness of breath, tiredness","Pulmonology, thoracic surgery"
delirium,"Agitation, confusion, drowsiness, hallucinations, delusions, memory problems","Intensive care medicine, Neurology, Psychiatry, Geriatrics"
influenza,"Fever, runny nose, sore throat, muscle pain, headache, coughing, fatigue",Infectious disease
thrombus,"abrupt change in mental status, chest pain, cramp-like feeling, fatigue, passing out (syncope), and swelling in the arm and/or leg",Vascular surgery
cholecystitis,"Intense right upper abdominal pain, nausea, vomiting, fever","General surgery, gastroenterology"
migraine disorders,"Headaches, nausea, sensitivity to light, sound, and smell",Neurology
biliary calculus,"None, crampy pain in the right upper abdomen","Gastroenterology
General surgery"
Achondroplasia,"Short arms and legs, enlarged head, prominent forehead",Medical genetics
Age-Related Macular Degeneration,Blurred or no vision in the center of the visual field,"Ophthalmology, optometry"
Algodystrophy,"Pain, allodynia, hypo- or hyperesthesia, skin temperature abnormalities, atrophy, stiffness","Neurology, psychiatry, anesthesiology"
Algoneurodystrophy,"Pain, allodynia, hypo- or hyperesthesia, skin temperature abnormalities, atrophy, stiffness","Neurology, psychiatry, anesthesiology"
Alpha-1-Antitrypsin Deficiency,"Shortness of breath, wheezing, yellowish skin","Pulmonology, Hepatology, Medical genetics"
ARDS,"Shortness of breath, rapid breathing, bluish skin coloration, chest pain, loss of speech",Critical care medicine
Argininemia,"Lethargy, Dehydration","Neurology, medical genetics, endocrinology"
Arrhythmia,"Palpitations, dizziness or lightheadedness, passing out, shortness of breath, chest pain, decreased level of consciousness",Cardiology
Autism,"Difficulties in social interaction, verbal and nonverbal communication, and the presence of repetitive behavior or restricted interests","Psychiatry, clinical psychology, pediatrics, occupational medicine"
Babesiosis,"fever, chills, headache, fatigue",Infectious disease
Bacterial Meningitis,"Fever, headache, neck stiffness","Infectious disease, neurology"
Baldness,Loss of hair from part of the head or body.,Dermatology
Bowen's Disease,Hard lump with a scaly top or ulceration.,"Dermatology, plastic surgery, otorhinolaryngology"
Brain Cancer,"Vary depending on the part of the brain involved, headaches, seizures, problem with vision, vomiting, mental changes","Neurosurgery, Neuro-oncology"
Brittle Bone Disease,"Bones that break easily, blue tinge to the sclera (whites of the eye), short height, joint hypermobility, hearing loss","Pediatrics, medical genetics, orthopedics"
Campylobacteriosis,"Diarrhea, abdominal pain, fever",Infectious disease
Carbon Monoxide Poisoning,"Headache, dizziness, weakness, vomiting, chest pain, confusion","Toxicology, emergency medicine"
Catatonia,"Immobility, mutism, staring, posturing, rigidity, low consciousness, etc.","Psychiatry, neurology"
Chalazia,"Red, non painful cyst in middle of the eyelid","Ophthalmology, optometry"
Chalazion,"Red, non painful cyst in middle of the eyelid","Ophthalmology, optometry"
Charcot-Marie-Tooth Disease,"Foot drop, hammertoe, peripheral muscle wasting of lower legs and lower arm/hands","Neurology, podiatry, orthopedics, physical medicine and rehabilitation"
Childhood ADHD,Inattentioncarelessnesshyperactivityexecutive dysfunctiondisinhibitionemotional dysregulationimpulsivityimpaired working memory,Psychiatrypediatrics
Clostridium Difficile Colitis,"Diarrhea, fever, nausea, abdominal pain",Infectious disease
Cluster Headaches,"Recurrent, severe headaches on one side of the head, eye watering, stuffy nose",Neurology
Cold Sores,Burning pain followed by small blisters or sores,Infectious disease
COPD,"Shortness of breath, chronic cough",Pulmonology
Cushing's Syndrome,"High blood pressure, abdominal obesity with thin arms and legs, reddish stretch marks, round face, often reddened due to facial plethora, fat lump between the shoulders, weak muscles, acne, fragile skin",Endocrinology
Dandy Fever,"Fever, headache, muscle and joint pain, rash. Can be severe, mild or asymptomatic",Infectious disease
Diabetic Macular Edema,"Often asymptomatic, but can cause spots in the eye and vision loss.","Ophthalmology, optometry"
Duodenal Ulcer,"Heartburn, upper abdominal pain, nausea, belching, vomiting, blood in the stool, weight loss, weight gain, bloating, loss of appetite, yellowing of the skin and whites of the eyes, difficulty swallowing","Gastroenterology
General surgery"
Ebola,"Fever, sore throat, muscular pain, headaches, diarrhoea, bleeding",Infectious disease
Eczema,"Itchiness, red skin, rash",Dermatology
EDMD,"Joint contractures, muscle weakness, heart issues","Neurology, neuromuscular medicine"
Edward's Syndrome,"Small head, small jaw, clenched fists with overlapping fingers, profound intellectual disability","Medical genetics, pediatrics"
Elephantiasis,Swelling of the skin,"Infectious disease, general surgery"
Empty Sella Syndrome,Cryptorchidism,Endocrinology
Endometrial Cancer,"Vaginal bleeding, pain with urination or sexual intercourse, pelvic pain","Oncology, gynecology"
Epidemic Cholera,"Large amounts of watery diarrhea, vomiting, muscle cramps",Infectious disease
Facioscapulohumeral Muscular Dystrophy,"Facial weakness, scapular winging, foot drop","Neurology, neuromuscular medicine"
Factitious Disorder by Proxy,Variable,Psychiatry
Fainting,Loss of consciousness and muscle strength,"Neurology, cardiology"
Fallot's Tetralogy,"Episodes of bluish color to the skin, difficulty breathing, heart murmur, finger clubbing","Cardiac surgery, pediatrics"
Familial Jaundice,"Usually none, still, abdominal pain, nausea, tired and weak feeling, slight jaundice may present",Gastroenterology
Fifth Disease,"Red rash, especially on cheeks and harsh coughs",Infectious disease
Fragile X Syndrome,"Intellectual disability, long and narrow face, large ears, flexible fingers, large testicles","Medical genetics, pediatrics, psychiatry"
Gastric Ulcer,"Heartburn, upper abdominal pain, nausea, belching, vomiting, blood in the stool, weight loss, weight gain, bloating, loss of appetite, yellowing of the skin and whites of the eyes, difficulty swallowing","Gastroenterology
General surgery"
Gastroschisis,Intestines extend outside of the body through a hole next to the belly button,"General surgery, medical genetics"
Giardiasis,"Diarrhea, abdominal pain, weight loss, nausea","Infectious disease, gastroenterology"
Glioblastoma Multiforme,"Initially nonspecific, headaches, personality changes, nausea, symptoms similar to a stroke","Neuro-oncology, neurosurgery"
Grave's Disease,"Enlarged thyroid, irritability, muscle weakness, sleeping problems, fast heartbeat, weight loss, poor tolerance of heat, anxiety, tremor of hands or fingers, warm and moist skin, increased perspiration, goiter, changes in menstrual cycle, easy bruising, erectile dysfunction, reduced libido, frequent bowel movements, bulging eyes (Graves' ophthalmopathy), thick red skin on shins or the top of foot (pretibial myxedema)",Endocrinology
Guillain-Barre Syndrome,"Muscle weakness beginning in the feet and hands, usually ascending",Neurology
Hashimoto's Thyroiditis,"Painless goiter, weight gain, feeling tired, constipation, depression, dry skin, hair loss",Endocrinology
Hemophilia A,Prolonged bleeding from common injuries,Haematology
Hemophilia B,Easy bruising,Haematology
Hepatitis,"Yellowish skin, poor appetite, abdominal pain","Infectious disease, gastroenterology, hepatology"
Hereditary Angioedema,Recurrent attacks of severe swelling,Hematology
Hodgkin's Disease,"Fever, night sweats, weight loss, nonpainful enlarged lymph nodes",Hematology and oncology
Hordeolum,Red tender bump at the edge of the eyelid,"Ophthalmology, optometry"
Hunter Syndrome,"Skeletal abnormalities, hearing loss, retinal degeneration, enlarged liver and spleen",Endocrinology
Hypercalcemia-Supravalvar Aortic Stenosis,"Facial changes including underdeveloped chin structure, intellectual disability, overly friendly nature, short height","Medical genetics, pediatrics"
Hyperemesis Gravidarum,Nausea and vomiting such that weight loss and dehydration occur,"Obstetrics
Gastroenterology"
Idiopathic Pulmonary Fibrosis,"Shortness of breath, dry coughing",Pulmonology
Infantile Spinal Muscular Atrophy,Loss of motor neurons resulting in muscle wasting,Neurology
Infectious Mononucleosis,"Fever, sore throat, enlarged lymph nodes in the neck, fatigue",Infectious disease
Jakob-Creutzfeldt Disease,"Early: memory problems, behavioral changes, poor coordination, visual disturbances
Later: dementia, involuntary movements, blindness, weakness, coma",Neurology
Juvenile Diabetes,"Frequent urination, increased thirst, weight loss",Endocrinology
LGMD,Pelvic muscle weakness,"Neurology, neuromuscular medicine"
Listeriosis,"Diarrhea, fever, headache",Infectious disease
Lou Gehrig's Disease,"Early: Stiff muscles, muscle twitches, gradual increasing weakness
Later: Difficulty in speaking, swallowing, and breathing; respiratory failure; 10–15% experience frontotemporal dementia",Neurology
Macular Degeneration,Blurred or no vision in the center of the visual field,"Ophthalmology, optometry"
Manic-Depressive Disorder,Periods of depression and elevated mood,"Psychiatry, clinical psychology"
Miscarriage,Vaginal bleeding with or without pain,"Obstetrics and Gynaecology, Neonatology, Pediatrics"
Motor Neuron Disease,"Early: Stiff muscles, muscle twitches, gradual increasing weakness
Later: Difficulty in speaking, swallowing, and breathing; respiratory failure; 10–15% experience frontotemporal dementia",Neurology
MPS II,"Skeletal abnormalities, hearing loss, retinal degeneration, enlarged liver and spleen",Endocrinology
Munchausen Syndrome by Proxy,Variable,Psychiatry
Necrotizing Enterocolitis,"Poor feeding, bloating, decreased activity, vomiting of bile","Pediatrics, gastroenterology, neonatology"
Nicotine Withdrawal,"Cravings for nicotine, anger or irritability, anxiety, depression, impatience, trouble sleeping, diarrhea, restlessness, hunger, and difficulty concentrating",Psychiatry
Non-Hodgkin's Lymphoma,"Enlarged lymph nodes, fever, night sweats, weight loss, tiredness, itching",Hematology and oncology
Noroviruses,"Diarrhea, vomiting, stomach pain, headache","Emergency medicine, pediatrics"
Oral Cancer,"Persistent rough white or red patch in the mouth lasting longer than 2 weeks, ulceration, lumps/bumps in the neck, pain, loose teeth, difficulty swallowing","Oncology, oral and maxillofacial surgery, ENT surgery"
PMS,"Fatigue, irritability and other mood changes, tender breasts, abdominal bloating","Gynecology, psychiatry"
Postmenopausal,No menstrual periods for a year,Gynecology
Pulmonary Arterial Hypertension,"Chest pain, fatigue","Pulmonology, cardiology"
Primary Ciliary Dyskinesia,"Respiratory problems, chronic mucus-producing cough and runny nose.",Pulmonology
"Pulmonary Hypertension, Secondary","Chest pain, fatigue","Pulmonology, cardiology"
"Purpura, Thrombotic Thrombocytopenic","Large bruises, fever, weakness, shortness of breath, confusion, headache",Hematology
Raynaud's Phenomenon,"An affected part turning white, then blue, then red, burning",Rheumatology
Reflex Neurovascular Dystrophy,"Pain, allodynia, hypo- or hyperesthesia, skin temperature abnormalities, atrophy, stiffness","Neurology, psychiatry, anesthesiology"
Reflex Sympathetic Dystrophy Syndrome,"Pain, allodynia, hypo- or hyperesthesia, skin temperature abnormalities, atrophy, stiffness","Neurology, psychiatry, anesthesiology"
Ringworm,"Red, itchy, scaly, circular skin rash","Dermatology, Internal Medicine"
Rocky Mountain Spotted Fever,"Early: Fever, headache
Later: Rash",Infectious disease
Shigellosis,"Diarrhea, fever, abdominal pain",Infectious disease
Sjogren's Syndrome,"Dry mouth, dry eyes, other areas of dryness","Immunology, rheumatology"
"Syphilis, Congenital","Rash, fever, large liver and spleen, skeletal abnormalities",Infectious diseases
Tardive Dyskinesia,"Involuntary, repetitive body movements","Neurology, psychiatry"
Tay-Sachs Disease,"Initially: Decreased ability to turn over, sit, or crawl
Later: Seizures, hearing loss, inability to move",Medical genetics
Temporal Arteritis,"Headache, pain over the temples, flu-like symptoms, double vision, difficulty opening the mouth","Rheumatology, emergency medicine, Immunology"
Tendinopathy,"Pain, swelling",Primary care
Thrombophlebitis,Skin redness,Cardiology
Thyrotoxicosis,"Irritability, muscle weakness, sleeping problems, fast heartbeat, heat intolerance, diarrhea, enlargement of the thyroid, weight loss",Endocrinology
Tic Douloureux,"Typical: episodes of severe, sudden, shock-like pain in one side of the face that lasts for seconds to minutes
Atypical: constant burning pain",Neurology
Tourette's Syndrome,Tics,"Pediatrics, neurology, psychiatry"
Treacher Collins Syndrome,"Deformities of the ears, eyes, cheekbones, chin",Medical genetics
Tuberculosis (TB),"Chronic cough, fever, cough with bloody mucus, weight loss","Infectious disease, pulmonology"
Tularemia,"Fever, skin ulcer, large lymph nodes",Infectious disease
Urethral Cancer,"Blood in the urine, lump at end of penis, Bloody urethral discharge.",Oncology Urology
Urinary Tract Infections,"Pain with urination, frequent urination, feeling the need to urinate despite having an empty bladder","Infectious disease, Urology"
Uterine Cancer,"Endometrial cancer: vaginal bleeding, pelvic pain
Uterine sarcoma: vaginal bleeding, mass in the vagina","Gynecology, oncology"
Vaginal Yeast Infections,"Vaginal itching, burning with urination, white and thick vaginal discharge, pain with sex, redness around the vagina",Gynaecology
Verruca,"Skin colored lesion, may be painful","Dermatology, Podiatry"
West Nile Fever,"None, fever, headache, vomiting or diarrhea and muscle aches rash",Infectious disease
Williams Syndrome,"Facial changes including underdeveloped chin structure, intellectual disability, overly friendly nature, short height","Medical genetics, pediatrics"
Williams-Beuren Syndrome,"Facial changes including underdeveloped chin structure, intellectual disability, overly friendly nature, short height","Medical genetics, pediatrics"
WPW Syndrome,"Abnormally fast heartbeat, palpitations, shortness of breath, lightheadedness, loss of consciousness",Cardiology
Xeroderma Pigmentosum,"Severe sunburn after only a few seconds in the sun, freckling in sun-exposed areas, dry skin, changes in skin pigmentation",Medical genetics
Yellow Fever,"Fever, chills, muscle pain, headache, yellow skin",Infectious disease
Zika,"Fever, red eyes, joint pain, headache, maculopapular rash, Sometimes none",Infectious disease
